train_id,source,destination,travel_class,quota,current_wl,days_to_journey,day_of_week,is_weekend,historical_confirmation_rate,historical_cancellation_rate,confirmed
12952,Delhi,Mumbai,3A,TQ,58,3,5,1,0.866,0.196,0
12621,Chennai,New Delhi,3A,TQ,17,8,0,0,0.822,0.129,0
12840,Chennai,Howrah,SL,GN,7,25,3,0,0.611,0.22,1
12622,New Delhi,Chennai,2A,GN,28,2,1,0,0.969,0.133,0
12951,Mumbai,Delhi,3A,GN,43,28,4,0,0.794,0.289,0
12622,New Delhi,Chennai,3A,GN,52,30,6,1,0.703,0.21,0
12951,Mumbai,Delhi,2A,GN,26,21,5,1,0.731,0.215,1
12952,Delhi,Mumbai,2A,GN,54,16,0,0,0.654,0.244,0
12839,Howrah,Chennai,2A,GN,16,19,4,0,0.945,0.156,1
12008,Bengaluru,Chennai,3A,TQ,5,12,1,0,0.85,0.222,1
12008,Bengaluru,Chennai,SL,TQ,52,10,1,0,0.73,0.18,0
12840,Chennai,Howrah,CC,TQ,2,17,3,0,0.845,0.189,1
12621,Chennai,New Delhi,2A,TQ,3,1,0,0,0.656,0.1,0
12008,Bengaluru,Chennai,3A,GN,50,3,6,1,0.759,0.145,0
12007,Chennai,Bengaluru,2A,TQ,36,25,4,0,0.744,0.184,0
12621,Chennai,New Delhi,SL,GN,36,18,0,0,0.713,0.261,1
12952,Delhi,Mumbai,2A,GN,17,17,5,1,0.89,0.03,1
12622,New Delhi,Chennai,CC,TQ,19,12,0,0,0.812,0.171,0
12621,Chennai,New Delhi,CC,GN,59,21,3,0,0.887,0.307,0
12951,Mumbai,Delhi,CC,TQ,38,7,5,1,0.737,0.194,0
12621,Chennai,New Delhi,CC,GN,1,22,3,0,0.803,0.2,1
12622,New Delhi,Chennai,2A,GN,44,22,6,1,0.866,0.169,0
12951,Mumbai,Delhi,CC,GN,41,7,0,0,0.78,0.103,0
12952,Delhi,Mumbai,CC,GN,53,6,1,0,0.802,0.181,0
12952,Delhi,Mumbai,SL,GN,31,1,4,0,0.785,0.117,1
12951,Mumbai,Delhi,CC,GN,38,12,3,0,0.681,0.146,0
12007,Chennai,Bengaluru,SL,GN,27,22,6,1,0.724,0.046,0
12007,Chennai,Bengaluru,SL,TQ,6,18,2,0,0.854,0.283,0
12952,Delhi,Mumbai,2A,GN,25,22,2,0,0.733,0.199,1
12952,Delhi,Mumbai,SL,GN,6,28,0,0,0.944,0.196,1
12621,Chennai,New Delhi,SL,GN,9,14,0,0,0.84,0.188,1
12840,Chennai,Howrah,3A,GN,8,7,1,0,0.432,0.161,0
12008,Bengaluru,Chennai,3A,GN,17,16,6,1,0.723,0.284,1
12622,New Delhi,Chennai,3A,GN,34,18,5,1,0.693,0.188,1
12008,Bengaluru,Chennai,2A,GN,17,5,4,0,0.976,0.061,1
12007,Chennai,Bengaluru,3A,GN,43,11,2,0,0.817,0.114,0
12007,Chennai,Bengaluru,CC,GN,58,19,2,0,0.751,0.145,0
12008,Bengaluru,Chennai,SL,GN,12,26,5,1,0.786,0.03,0
12839,Howrah,Chennai,CC,GN,26,4,0,0,0.801,0.193,0
12840,Chennai,Howrah,3A,GN,28,23,5,1,0.944,0.163,0
12008,Bengaluru,Chennai,2A,GN,45,18,1,0,0.681,0.098,0
12622,New Delhi,Chennai,3A,GN,17,7,5,1,0.703,0.155,1
12007,Chennai,Bengaluru,3A,GN,47,22,1,0,0.868,0.326,1
12007,Chennai,Bengaluru,3A,TQ,34,27,2,0,0.783,0.189,0
12008,Bengaluru,Chennai,3A,GN,55,9,6,1,0.731,0.192,0
12008,Bengaluru,Chennai,SL,GN,38,19,5,1,0.79,0.233,0
12008,Bengaluru,Chennai,CC,GN,33,20,0,0,0.704,0.309,1
12008,Bengaluru,Chennai,2A,TQ,13,11,2,0,0.765,0.151,0
12007,Chennai,Bengaluru,SL,GN,11,15,5,1,0.722,0.056,0
12622,New Delhi,Chennai,3A,GN,56,11,0,0,0.729,0.093,0
12622,New Delhi,Chennai,3A,GN,37,5,2,0,0.83,0.2,1
12952,Delhi,Mumbai,3A,GN,39,8,5,1,0.805,0.236,0
12839,Howrah,Chennai,2A,GN,53,8,2,0,0.622,0.03,0
12951,Mumbai,Delhi,CC,GN,47,29,0,0,0.877,0.186,0
12839,Howrah,Chennai,SL,GN,22,2,1,0,0.695,0.295,0
12839,Howrah,Chennai,CC,GN,52,24,6,1,0.736,0.206,0
12621,Chennai,New Delhi,CC,GN,43,27,4,0,0.877,0.098,0
12621,Chennai,New Delhi,CC,TQ,40,30,1,0,0.76,0.183,1
12840,Chennai,Howrah,SL,GN,42,17,3,0,0.853,0.136,0
12952,Delhi,Mumbai,3A,TQ,1,14,4,0,0.786,0.257,1
12622,New Delhi,Chennai,SL,GN,41,3,6,1,0.767,0.254,0
12621,Chennai,New Delhi,3A,TQ,43,27,3,0,0.761,0.202,0
12951,Mumbai,Delhi,CC,GN,49,7,0,0,0.71,0.124,0
12952,Delhi,Mumbai,CC,GN,23,19,2,0,0.723,0.259,0
12621,Chennai,New Delhi,3A,GN,51,15,1,0,0.927,0.03,0
12839,Howrah,Chennai,CC,GN,29,23,6,1,0.697,0.245,0
12840,Chennai,Howrah,3A,TQ,8,1,0,0,0.793,0.131,0
12008,Bengaluru,Chennai,SL,GN,3,19,0,0,0.952,0.211,1
12840,Chennai,Howrah,CC,TQ,54,21,5,1,0.786,0.222,0
12839,Howrah,Chennai,SL,GN,19,4,4,0,0.872,0.167,0
12839,Howrah,Chennai,2A,GN,5,5,5,1,0.698,0.136,0
12951,Mumbai,Delhi,3A,GN,17,10,5,1,0.877,0.178,1
12840,Chennai,Howrah,3A,GN,39,9,5,1,0.774,0.11,1
12951,Mumbai,Delhi,2A,GN,6,18,4,0,0.779,0.275,1
12007,Chennai,Bengaluru,3A,GN,27,25,6,1,0.522,0.198,0
12839,Howrah,Chennai,3A,TQ,26,21,3,0,0.738,0.282,0
12621,Chennai,New Delhi,CC,GN,36,17,2,0,0.758,0.22,0
12008,Bengaluru,Chennai,3A,GN,33,26,3,0,0.657,0.19,1
12952,Delhi,Mumbai,SL,GN,1,25,4,0,0.675,0.136,1
12007,Chennai,Bengaluru,CC,GN,30,6,1,0,0.749,0.134,0
12840,Chennai,Howrah,CC,GN,31,21,0,0,0.975,0.27,1
12952,Delhi,Mumbai,CC,GN,26,9,4,0,0.749,0.188,0
12839,Howrah,Chennai,SL,GN,8,18,2,0,0.752,0.177,0
12951,Mumbai,Delhi,2A,GN,17,14,6,1,0.87,0.039,1
12839,Howrah,Chennai,CC,GN,56,17,3,0,0.881,0.134,1
12951,Mumbai,Delhi,CC,GN,55,3,1,0,0.736,0.097,0
12622,New Delhi,Chennai,2A,GN,30,25,6,1,0.724,0.291,0
12008,Bengaluru,Chennai,CC,GN,4,18,5,1,0.621,0.225,0
12007,Chennai,Bengaluru,SL,GN,60,6,6,1,0.752,0.342,1
12621,Chennai,New Delhi,CC,TQ,54,21,2,0,0.623,0.185,0
12008,Bengaluru,Chennai,SL,GN,47,23,0,0,0.724,0.355,0
12621,Chennai,New Delhi,3A,GN,17,24,2,0,0.725,0.224,1
12951,Mumbai,Delhi,2A,TQ,3,27,3,0,0.874,0.138,1
12839,Howrah,Chennai,CC,TQ,11,27,1,0,0.605,0.092,1
12622,New Delhi,Chennai,CC,GN,5,13,0,0,0.959,0.244,1
12840,Chennai,Howrah,2A,TQ,33,6,2,0,0.742,0.218,0
12007,Chennai,Bengaluru,3A,GN,27,6,3,0,0.685,0.168,1
12839,Howrah,Chennai,3A,GN,14,13,4,0,0.702,0.137,1
12951,Mumbai,Delhi,CC,GN,45,3,5,1,0.591,0.263,0
12007,Chennai,Bengaluru,SL,GN,20,4,1,0,0.855,0.248,1
12622,New Delhi,Chennai,SL,GN,29,11,0,0,0.971,0.171,1
12951,Mumbai,Delhi,3A,GN,29,4,0,0,0.91,0.188,0
12621,Chennai,New Delhi,2A,TQ,44,24,3,0,0.838,0.21,1
12621,Chennai,New Delhi,SL,GN,59,1,1,0,0.756,0.205,0
12839,Howrah,Chennai,CC,GN,8,28,5,1,0.757,0.169,1
12007,Chennai,Bengaluru,CC,GN,24,28,1,0,0.905,0.214,1
12952,Delhi,Mumbai,CC,GN,54,21,4,0,0.96,0.078,0
12007,Chennai,Bengaluru,3A,GN,18,14,6,1,0.622,0.233,1
12008,Bengaluru,Chennai,2A,GN,17,12,0,0,0.828,0.157,1
12952,Delhi,Mumbai,3A,GN,50,28,0,0,0.692,0.183,0
12008,Bengaluru,Chennai,3A,GN,34,10,6,1,0.752,0.205,1
12952,Delhi,Mumbai,3A,GN,31,9,1,0,0.907,0.219,0
12008,Bengaluru,Chennai,3A,GN,3,9,3,0,0.759,0.154,1
12007,Chennai,Bengaluru,SL,TQ,58,19,6,1,0.947,0.166,0
12008,Bengaluru,Chennai,3A,GN,37,24,0,0,0.772,0.121,1
12008,Bengaluru,Chennai,2A,GN,7,12,0,0,0.82,0.225,1
12622,New Delhi,Chennai,CC,GN,49,19,0,0,0.69,0.298,1
12951,Mumbai,Delhi,CC,GN,42,19,2,0,0.691,0.085,0
12951,Mumbai,Delhi,CC,GN,30,23,1,0,0.767,0.203,1
12622,New Delhi,Chennai,SL,GN,56,7,0,0,0.711,0.199,0
12007,Chennai,Bengaluru,2A,GN,12,24,3,0,0.617,0.177,1
12008,Bengaluru,Chennai,CC,GN,10,12,5,1,0.764,0.1,0
12839,Howrah,Chennai,SL,GN,49,17,3,0,0.629,0.257,0
12622,New Delhi,Chennai,3A,TQ,9,5,3,0,0.795,0.147,1
12622,New Delhi,Chennai,SL,GN,59,11,5,1,0.691,0.19,0
12839,Howrah,Chennai,2A,GN,44,6,3,0,0.707,0.215,0
12839,Howrah,Chennai,3A,GN,1,23,6,1,0.828,0.191,1
12840,Chennai,Howrah,2A,GN,12,27,0,0,0.891,0.263,1
12951,Mumbai,Delhi,3A,GN,50,6,6,1,0.943,0.176,0
12007,Chennai,Bengaluru,2A,GN,4,2,4,0,0.87,0.17,1
12008,Bengaluru,Chennai,3A,GN,21,15,0,0,0.741,0.091,1
12952,Delhi,Mumbai,SL,GN,49,3,3,0,0.784,0.164,0
12007,Chennai,Bengaluru,3A,TQ,2,6,3,0,0.85,0.083,1
12839,Howrah,Chennai,2A,GN,6,14,1,0,0.798,0.307,1
12839,Howrah,Chennai,SL,GN,51,15,3,0,0.764,0.167,0
12840,Chennai,Howrah,SL,GN,27,29,6,1,0.98,0.249,0
12951,Mumbai,Delhi,SL,GN,7,12,1,0,0.936,0.142,0
12007,Chennai,Bengaluru,3A,TQ,20,4,5,1,0.802,0.275,0
12008,Bengaluru,Chennai,SL,TQ,9,26,0,0,0.794,0.106,0
12840,Chennai,Howrah,CC,GN,27,5,3,0,0.86,0.141,0
12952,Delhi,Mumbai,2A,GN,47,17,2,0,0.808,0.174,0
12007,Chennai,Bengaluru,2A,GN,7,11,1,0,0.853,0.085,1
12951,Mumbai,Delhi,2A,GN,39,9,0,0,0.711,0.207,1
12007,Chennai,Bengaluru,3A,GN,37,1,3,0,0.722,0.109,0
12951,Mumbai,Delhi,CC,GN,27,21,5,1,0.76,0.298,1
12008,Bengaluru,Chennai,3A,GN,44,2,5,1,0.947,0.209,1
12007,Chennai,Bengaluru,SL,GN,57,23,1,0,0.712,0.172,0
12622,New Delhi,Chennai,CC,GN,16,30,4,0,0.705,0.235,1
12840,Chennai,Howrah,SL,GN,12,6,3,0,0.74,0.105,0
12621,Chennai,New Delhi,SL,GN,11,3,3,0,0.799,0.173,0
12622,New Delhi,Chennai,SL,GN,12,15,0,0,0.727,0.186,0
12008,Bengaluru,Chennai,3A,GN,16,7,3,0,0.725,0.249,0
12951,Mumbai,Delhi,CC,TQ,2,25,4,0,0.726,0.353,1
12621,Chennai,New Delhi,2A,GN,25,13,4,0,0.774,0.106,1
12840,Chennai,Howrah,CC,GN,31,14,3,0,0.773,0.114,0
12008,Bengaluru,Chennai,3A,GN,19,19,4,0,0.759,0.284,1
12008,Bengaluru,Chennai,3A,GN,16,16,3,0,0.739,0.286,1
12622,New Delhi,Chennai,CC,GN,36,28,5,1,0.676,0.165,0
12622,New Delhi,Chennai,3A,GN,37,29,5,1,0.758,0.164,1
12839,Howrah,Chennai,3A,GN,5,1,4,0,0.778,0.221,1
12839,Howrah,Chennai,SL,GN,4,2,3,0,0.98,0.231,0
12007,Chennai,Bengaluru,3A,GN,42,13,0,0,0.894,0.102,0
12622,New Delhi,Chennai,CC,GN,11,23,1,0,0.731,0.114,0
12839,Howrah,Chennai,CC,TQ,5,12,0,0,0.72,0.175,0
12621,Chennai,New Delhi,CC,GN,20,21,1,0,0.903,0.197,0
12621,Chennai,New Delhi,CC,GN,58,5,4,0,0.899,0.23,0
12951,Mumbai,Delhi,2A,GN,4,14,0,0,0.911,0.212,0
12007,Chennai,Bengaluru,CC,GN,40,2,5,1,0.863,0.178,0
12952,Delhi,Mumbai,CC,GN,9,25,2,0,0.816,0.03,1
12622,New Delhi,Chennai,SL,GN,51,14,0,0,0.646,0.244,0
12007,Chennai,Bengaluru,3A,GN,40,14,6,1,0.808,0.259,0
12007,Chennai,Bengaluru,3A,GN,21,15,3,0,0.727,0.221,1
12007,Chennai,Bengaluru,SL,GN,54,19,6,1,0.852,0.233,1
12839,Howrah,Chennai,CC,GN,16,8,0,0,0.834,0.204,0
12952,Delhi,Mumbai,3A,GN,46,7,2,0,0.76,0.144,0
12008,Bengaluru,Chennai,3A,GN,54,12,0,0,0.857,0.259,0
12951,Mumbai,Delhi,CC,GN,4,20,1,0,0.902,0.196,1
12840,Chennai,Howrah,2A,GN,38,14,3,0,0.738,0.097,0
12007,Chennai,Bengaluru,CC,GN,52,4,5,1,0.888,0.356,0
12621,Chennai,New Delhi,SL,GN,19,22,4,0,0.835,0.145,0
12952,Delhi,Mumbai,3A,GN,49,27,3,0,0.75,0.193,1
12840,Chennai,Howrah,2A,GN,6,15,5,1,0.865,0.241,0
12621,Chennai,New Delhi,SL,GN,30,30,5,1,0.642,0.19,0
12951,Mumbai,Delhi,2A,GN,51,5,4,0,0.64,0.03,0
12008,Bengaluru,Chennai,2A,TQ,35,1,0,0,0.813,0.147,1
12952,Delhi,Mumbai,CC,GN,24,12,1,0,0.682,0.118,0
12008,Bengaluru,Chennai,2A,GN,13,6,3,0,0.817,0.192,0
12621,Chennai,New Delhi,SL,GN,50,1,2,0,0.854,0.16,0
12839,Howrah,Chennai,SL,GN,44,24,5,1,0.789,0.236,0
12621,Chennai,New Delhi,2A,TQ,12,25,4,0,0.707,0.123,1
12951,Mumbai,Delhi,CC,GN,41,7,5,1,0.98,0.332,1
12951,Mumbai,Delhi,SL,GN,22,16,0,0,0.735,0.321,1
12840,Chennai,Howrah,3A,GN,10,3,2,0,0.98,0.136,1
12839,Howrah,Chennai,CC,GN,22,15,4,0,0.683,0.212,1
12952,Delhi,Mumbai,2A,GN,56,30,2,0,0.844,0.186,0
12622,New Delhi,Chennai,2A,GN,50,11,2,0,0.644,0.162,0
12007,Chennai,Bengaluru,SL,GN,9,15,6,1,0.707,0.185,1
12622,New Delhi,Chennai,3A,GN,3,13,2,0,0.98,0.193,1
12007,Chennai,Bengaluru,CC,GN,46,22,2,0,0.701,0.193,1
12839,Howrah,Chennai,SL,TQ,21,30,4,0,0.819,0.126,0
12622,New Delhi,Chennai,SL,GN,38,18,5,1,0.654,0.11,1
12622,New Delhi,Chennai,SL,GN,34,22,2,0,0.787,0.253,1
12621,Chennai,New Delhi,2A,GN,11,25,6,1,0.944,0.074,1
12839,Howrah,Chennai,2A,GN,20,29,1,0,0.899,0.102,1
12840,Chennai,Howrah,2A,GN,3,4,1,0,0.754,0.044,1
12007,Chennai,Bengaluru,SL,GN,14,4,3,0,0.848,0.138,0
12621,Chennai,New Delhi,2A,GN,34,24,5,1,0.855,0.257,0
12008,Bengaluru,Chennai,2A,GN,20,17,0,0,0.739,0.175,0
12621,Chennai,New Delhi,3A,GN,28,20,4,0,0.71,0.242,0
12008,Bengaluru,Chennai,CC,GN,36,8,0,0,0.591,0.159,0
12622,New Delhi,Chennai,2A,TQ,8,2,0,0,0.673,0.096,0
12840,Chennai,Howrah,SL,GN,48,30,3,0,0.787,0.261,0
12007,Chennai,Bengaluru,SL,TQ,4,3,0,0,0.896,0.102,0
12008,Bengaluru,Chennai,CC,TQ,38,20,0,0,0.679,0.235,0
12008,Bengaluru,Chennai,CC,TQ,34,27,6,1,0.696,0.243,0
12008,Bengaluru,Chennai,3A,TQ,19,28,1,0,0.639,0.174,1
12008,Bengaluru,Chennai,SL,GN,8,11,3,0,0.713,0.158,1
12008,Bengaluru,Chennai,3A,GN,41,9,4,0,0.865,0.14,0
12840,Chennai,Howrah,2A,GN,11,13,6,1,0.879,0.13,1
12840,Chennai,Howrah,SL,GN,12,29,0,0,0.732,0.19,1
12951,Mumbai,Delhi,CC,GN,36,18,4,0,0.719,0.165,0
12951,Mumbai,Delhi,2A,GN,39,2,6,1,0.913,0.273,0
12952,Delhi,Mumbai,SL,GN,3,20,5,1,0.98,0.184,1
12008,Bengaluru,Chennai,CC,GN,1,23,4,0,0.86,0.166,1
12008,Bengaluru,Chennai,CC,GN,43,18,3,0,0.631,0.096,1
12622,New Delhi,Chennai,CC,GN,3,3,3,0,0.93,0.212,1
12840,Chennai,Howrah,2A,GN,28,5,6,1,0.773,0.112,0
12622,New Delhi,Chennai,2A,GN,31,27,5,1,0.693,0.195,0
12008,Bengaluru,Chennai,SL,GN,49,13,1,0,0.791,0.147,1
12622,New Delhi,Chennai,3A,GN,54,11,2,0,0.754,0.292,1
12622,New Delhi,Chennai,3A,GN,49,29,4,0,0.803,0.105,1
12008,Bengaluru,Chennai,CC,TQ,41,17,4,0,0.937,0.198,0
12621,Chennai,New Delhi,3A,GN,46,12,4,0,0.726,0.184,0
12840,Chennai,Howrah,SL,GN,47,2,2,0,0.843,0.134,0
12621,Chennai,New Delhi,SL,GN,8,28,4,0,0.66,0.365,0
12007,Chennai,Bengaluru,3A,GN,45,15,3,0,0.712,0.185,1
12621,Chennai,New Delhi,2A,GN,44,12,3,0,0.776,0.198,0
12952,Delhi,Mumbai,3A,GN,15,27,2,0,0.758,0.227,1
12839,Howrah,Chennai,2A,GN,7,13,2,0,0.876,0.166,1
12952,Delhi,Mumbai,SL,TQ,19,6,2,0,0.839,0.03,1
12008,Bengaluru,Chennai,3A,GN,21,16,3,0,0.756,0.136,0
12839,Howrah,Chennai,2A,TQ,8,26,0,0,0.768,0.155,0
12839,Howrah,Chennai,CC,GN,34,14,5,1,0.795,0.065,0
12621,Chennai,New Delhi,3A,GN,45,2,4,0,0.783,0.223,0
12840,Chennai,Howrah,3A,GN,2,26,4,0,0.698,0.103,1
12839,Howrah,Chennai,3A,GN,55,27,5,1,0.754,0.04,0
12007,Chennai,Bengaluru,2A,GN,22,17,6,1,0.782,0.03,0
12622,New Delhi,Chennai,CC,GN,14,18,3,0,0.703,0.108,0
12840,Chennai,Howrah,3A,GN,31,14,1,0,0.797,0.203,1
12839,Howrah,Chennai,SL,GN,58,29,1,0,0.849,0.292,0
12622,New Delhi,Chennai,SL,GN,28,11,0,0,0.98,0.086,0
12622,New Delhi,Chennai,3A,TQ,13,19,0,0,0.84,0.168,0
12839,Howrah,Chennai,3A,GN,21,21,2,0,0.791,0.193,0
12839,Howrah,Chennai,SL,GN,21,20,2,0,0.78,0.112,1
12840,Chennai,Howrah,3A,GN,41,28,6,1,0.891,0.148,0
12840,Chennai,Howrah,SL,GN,11,22,5,1,0.847,0.105,1
12951,Mumbai,Delhi,2A,GN,44,12,4,0,0.738,0.156,0
12621,Chennai,New Delhi,2A,GN,49,22,5,1,0.606,0.188,0
12839,Howrah,Chennai,3A,GN,54,20,4,0,0.681,0.218,0
12622,New Delhi,Chennai,2A,GN,47,17,3,0,0.756,0.193,0
12008,Bengaluru,Chennai,CC,GN,43,21,3,0,0.935,0.252,1
12840,Chennai,Howrah,SL,GN,56,8,4,0,0.62,0.122,0
12839,Howrah,Chennai,CC,GN,26,4,1,0,0.7,0.329,0
12008,Bengaluru,Chennai,SL,GN,26,12,6,1,0.814,0.11,1
12840,Chennai,Howrah,CC,GN,28,11,2,0,0.805,0.267,0
12008,Bengaluru,Chennai,3A,GN,50,5,3,0,0.696,0.326,0
12007,Chennai,Bengaluru,3A,GN,5,6,5,1,0.838,0.088,1
12008,Bengaluru,Chennai,SL,GN,45,11,3,0,0.825,0.206,0
12621,Chennai,New Delhi,2A,GN,54,18,1,0,0.826,0.122,0
12840,Chennai,Howrah,3A,TQ,8,13,1,0,0.96,0.167,1
12840,Chennai,Howrah,3A,GN,22,12,0,0,0.898,0.212,1
12839,Howrah,Chennai,2A,GN,42,28,1,0,0.919,0.185,1
12007,Chennai,Bengaluru,3A,TQ,54,24,6,1,0.634,0.086,0
12952,Delhi,Mumbai,2A,GN,14,17,1,0,0.596,0.293,1
12952,Delhi,Mumbai,SL,GN,56,13,0,0,0.846,0.187,0
12621,Chennai,New Delhi,CC,GN,19,13,3,0,0.868,0.169,0
12622,New Delhi,Chennai,2A,GN,45,29,0,0,0.727,0.232,1
12621,Chennai,New Delhi,CC,GN,35,5,0,0,0.907,0.154,1
12951,Mumbai,Delhi,CC,GN,57,17,6,1,0.673,0.168,0
12007,Chennai,Bengaluru,SL,GN,6,5,0,0,0.671,0.104,0
12839,Howrah,Chennai,3A,GN,37,25,2,0,0.862,0.137,0
12622,New Delhi,Chennai,2A,GN,22,21,5,1,0.954,0.249,1
12839,Howrah,Chennai,3A,GN,11,10,5,1,0.818,0.226,1
12007,Chennai,Bengaluru,SL,GN,1,25,2,0,0.841,0.167,1
12952,Delhi,Mumbai,2A,GN,39,29,5,1,0.88,0.166,1
12008,Bengaluru,Chennai,3A,GN,53,3,0,0,0.886,0.246,0
12839,Howrah,Chennai,CC,GN,4,18,0,0,0.847,0.176,1
12621,Chennai,New Delhi,3A,GN,49,8,2,0,0.602,0.134,0
12839,Howrah,Chennai,CC,GN,2,24,5,1,0.75,0.254,1
12621,Chennai,New Delhi,3A,GN,19,19,1,0,0.714,0.145,1
12622,New Delhi,Chennai,SL,TQ,5,25,3,0,0.756,0.132,1
12840,Chennai,Howrah,SL,GN,5,27,1,0,0.73,0.092,1
12839,Howrah,Chennai,2A,GN,29,24,3,0,0.866,0.113,0
12951,Mumbai,Delhi,3A,GN,17,2,5,1,0.819,0.183,0
12952,Delhi,Mumbai,CC,GN,3,10,1,0,0.651,0.058,1
12008,Bengaluru,Chennai,3A,GN,39,27,4,0,0.957,0.136,0
12008,Bengaluru,Chennai,2A,GN,27,10,0,0,0.692,0.237,0
12622,New Delhi,Chennai,3A,TQ,1,19,1,0,0.98,0.112,1
12007,Chennai,Bengaluru,CC,GN,45,4,6,1,0.91,0.157,0
12007,Chennai,Bengaluru,3A,GN,32,6,5,1,0.694,0.17,0
12007,Chennai,Bengaluru,2A,GN,26,19,3,0,0.863,0.29,0
12840,Chennai,Howrah,2A,GN,23,15,3,0,0.71,0.119,1
12951,Mumbai,Delhi,SL,GN,18,30,6,1,0.708,0.209,0
12007,Chennai,Bengaluru,CC,GN,10,6,0,0,0.878,0.127,1
12622,New Delhi,Chennai,CC,TQ,37,9,1,0,0.721,0.164,0
12622,New Delhi,Chennai,3A,GN,36,18,3,0,0.818,0.146,1
12007,Chennai,Bengaluru,CC,GN,7,29,2,0,0.78,0.236,1
12008,Bengaluru,Chennai,3A,GN,1,6,5,1,0.784,0.11,1
12622,New Delhi,Chennai,SL,GN,12,28,2,0,0.835,0.386,1
12622,New Delhi,Chennai,CC,GN,55,14,6,1,0.767,0.203,1
12007,Chennai,Bengaluru,SL,GN,51,13,2,0,0.781,0.202,1
12622,New Delhi,Chennai,2A,GN,30,25,6,1,0.67,0.205,0
12839,Howrah,Chennai,SL,GN,40,21,1,0,0.688,0.282,0
12008,Bengaluru,Chennai,SL,GN,32,10,2,0,0.709,0.092,0
12008,Bengaluru,Chennai,2A,GN,54,19,5,1,0.627,0.251,0
12621,Chennai,New Delhi,2A,GN,47,10,0,0,0.718,0.106,1
12840,Chennai,Howrah,SL,GN,29,7,1,0,0.786,0.109,0
12951,Mumbai,Delhi,SL,TQ,1,17,5,1,0.98,0.102,1
12622,New Delhi,Chennai,SL,GN,1,29,0,0,0.864,0.161,1
12839,Howrah,Chennai,3A,GN,19,2,0,0,0.771,0.252,1
12840,Chennai,Howrah,3A,GN,22,6,3,0,0.734,0.22,0
12952,Delhi,Mumbai,SL,GN,13,13,5,1,0.592,0.223,0
12008,Bengaluru,Chennai,CC,GN,52,11,1,0,0.633,0.221,0
12840,Chennai,Howrah,SL,GN,31,28,1,0,0.807,0.286,0
12007,Chennai,Bengaluru,3A,GN,58,20,0,0,0.926,0.124,0
12008,Bengaluru,Chennai,SL,GN,16,23,6,1,0.95,0.255,1
12951,Mumbai,Delhi,SL,GN,54,16,2,0,0.891,0.207,1
12951,Mumbai,Delhi,CC,GN,16,17,1,0,0.689,0.286,1
12008,Bengaluru,Chennai,SL,GN,38,3,5,1,0.84,0.191,0
12008,Bengaluru,Chennai,SL,GN,7,22,1,0,0.884,0.218,1
12007,Chennai,Bengaluru,CC,GN,28,8,0,0,0.838,0.061,1
12839,Howrah,Chennai,SL,GN,46,18,5,1,0.644,0.157,0
12951,Mumbai,Delhi,3A,GN,33,22,4,0,0.943,0.233,0
12621,Chennai,New Delhi,2A,GN,13,17,2,0,0.776,0.171,0
12621,Chennai,New Delhi,3A,GN,14,24,1,0,0.844,0.108,1
